"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,Post-reading coding,,,,,,RR coding
Paper,Research Q,Methodology,Topic,Autonomy level,"Findings (positive, negative, mixed, neutral)",Application domain,Sub-method A,Sub-method B,Repeatable,Comparison,Real system built,Real system compared,Citations,Dataset,Award,Build possible,Adapt type,Explicit Research Question,Whole-system autonomy,Adaptation Controller
ICAC_Chhetri,Can learning-based self-improvement offer anti-fragility for cyber defence systems?,Theoretical analysis,Cyber defense,Level 4,N/A,Cyber security in military contexts,,,N/A,None,No,No,0,N/A,N,Yes,Behaviour,N,N/A,N/A
ICAC_Horn,Can a multi-dimensional optimisation problem have the composition and weights of its combined utility function automated?,Theoretical analysis,Multi-objective optimisation,Level 4,Neutral,Secure storage system,,,Yes (method described),None,Partial,No,0,Theoretical,N,Yes,Cloud scaling,Y,N,Pareto front
SEAMS_Chen,What are the properties of retraining versus incremental updates for machine learning optimisation?,Real-world experiments,Various,Level 4,Neutral,Various,,,Partial (no specific code),ML approaches,Yes,Yes,0,Synthetic / private,N,Yes,Various,Y,N,Machine learning
SEAMS_Langford,Can evolutionary algorithms with novelty search improve action selection in learning-based optimisation for unknown environments?,Simulation,Self-driving car,Level 4,Positive,Self-driving car,,,No (no code),Default configuration of throttle controller,No,No,0,Private,N,Yes,Parametric,Y,N,Machine learning
SEAMS_Liaskos,"Can a blockchain be analysed as an adaptable control system, with tunable elements to optimise at runtime?",Simulation,Blockchain,Level 4,Positive (partly),Blockchain,,,No (no code),None,No,No,0,Private,N,Yes,Parametric,N,N,N/A
SEAMS_Moreno,Can a simulation platform improve research capability in the field of self-adaptive cyber-physical systems?,New platform,Research / experimentation platform,N/A,N/A,Research tools,,,N/A,None,Yes,No,0,N/A,N,Yes,N/A,N,N/A,N/A
SEAMS_Provoost,Can a new exemplar case study enhance research in self-adaptive systems?,New exemplar,IoT (various),N/A,N/A,Research tools,,,N/A,None,Yes,No,0,N/A,N,Yes,N/A,N,N/A,N/A
SEAMS_Maia,Can a simulation platform improve research capability in the field of self-adaptive drone systems?,New platform,Research / experimentation platform,N/A,N/A,Research tools,,,N/A,None,Yes,No,0,N/A,N,Yes,N/A,N,N/A,N/A
SEAMS_Quin,Can machine learning approaches reduce the apparent search space size for self-adaptive systems?,Simulation,Reduced learning search time,Level 4,Positive,IoT,,,Yes (code),No-learning baseline,No,No,0,Public,N,Yes,Feature / action space narrowing for self-adaptive systems,N,N,Machine learning
SEAMS_Tsigkanos,Can trajectories in an IoT system be abstracted as an accessibility graph for use by self-adaptive systems?,Theoretical analysis,Abstraction for simpler reasoning,N/A,Positive,IoT (city vehicular traffic analysis),,,"Almost (algorithms given and working, but no code)",None,No,No,0,N/A,N,Maybe,N/A,N,N/A,N/A
SEAMS_Bennaceur,What are the research challenges of engineering and analysing CPS?,Anectodal analysis,Research theme mapping,N/A,N/A,Cyber physical systems in general,,,N/A,None,No,No,0,N/A,N,N/A,N/A,N,N/A,N/A
SEAMS_Jamshidi,Can machine learning combined with planning improve adaptation quality in autonomous robotics?,Simulation,Adaptation decision quality,Level 4,Positive (mostly),Robotic systems in general,,,No (no code),Various theoretical baselines,No (though apparently it's portable from simulation),No,0,Private,N,Yes,Action space narrowing,Y,N,Machine learning
SEAMS_ElSaid,Is adaptability a core property of intelligent systems?,Anectodal analysis,Philosophy of intelligence,N/A,Neutral,General autonomous systems,,,No (anecdotal),None,No,No,0,N/A,N,N/A,N/A,Y,N/A,N/A
SEAMS_Erbel,Can OCCI be extended with real-time monitoring to create a full autonomic control loop?,Case study story,Abstraction for autonomic reasoning,N/A,Positive,Cloud computing,,,No (methodology unclear),None,Yes,No,0,N/A,N,Yes,Various (platform),N,N/A,N/A
SEAMS_Angelo,What are the machine learning dimensions and challenges in collective self-adaptive systems?,Systematic review,General adaptive systems,N/A,Neutral,General autonomous systems,,,Yes (method described),N/A,N/A,N/A,0,N/A,N,N/A,N/A,Y,N/A,Machine learning
SEAMS_Mertz,Can adaptive monitoring reduce overhead without compromising on decision quality?,Real-world experiment,Monitoring efficiency,Level 4,Positive,General autonomous systems,,,Partial (no specific code),Previous research,Yes,Yes,0,Private,N,Yes,Monitoring granularity,N,N,DSL / policy
SEAMS_Grua,What is the current state of the art for self-adaptive research in mobile applications?,Systematic review,General adaptive systems,N/A,Neutral,General autonomous systems,,,Yes (code and methodology),N/A,N/A,N/A,0,N/A,N,N/A,N/A,Y,N/A,N/A
SEAMS_Solano,Can a goal-oriented model tame uncertainty and offer assurances in self-adaptive systems?,Real-world experiment,Reduced uncertainty,Level 4,Positive,Body area networks,,,Yes (code),Simulated baselines,Yes,No,0,Public,N,Yes,Behaviour,N,N,Markov decision process
SEAMS_Lemos,Can a self-adaptive machine learning system interpret and explain its data model?,Anectodal analysis,Explainable ML,Level 4,Neutral,Machine learning theory,,,No,None,No,No,0,N/A,N,Yes,Machine learning model,Y,N,N/A
SEAMS_Gerostathopoulos,Can a simulated experimentation platform enhance research in self-adaptive traffic management?,New platform,Decentralised multi-agent adaptation,Level 4,N/A,Research tools,,,Yes (code),None,No,No,0,N/A,N,No,Behaviour,N,N,Planning
SEAMS_Khakpour,Can the security of adaptive systems be formally analysed and assured?,Theoretical analysis of case study systems,Security in self-adaptive systems,N/A,Positive,General autonomous systems,,,"Partial (no code, limited methodological reproducibility)",None,Yes,No,0,N/A,N,Yes,N/A,N,N/A,N/A
SEAMS_Devries,Can a partial feature interaction concept support a reduced feature interaction space for faster analysis?,Theoretical analysis of a case study,Feature interaction reduction,N/A,Positive,Cruise control,,,"Mostly (method well described, example reproducible in theory)",None,No,No,0,N/A,N,Yes,Parametric,N,N,N/A
SEAMS_Paterson,Can continuous planning be improved by automated analysis of unstructured data?,Simulation,Automated planning,Level 4,Positive,Disaster planning,NLP,Stochastic model synthesis,No (no code),None,No,No,0,N/A,N,Yes ?,Workflow,N,Y,N/A
SEAMS_Bennaceur_B,Can requirements be adapted dynamically based on available resources?,Simulation (high level) and user survey,Requirements adaptation,Level 4,Positive,Meal planning / food waste,,,Yes (code),None,Yes,No,0,Semi-public (unclear how it's generated),N,Yes,Requirements,N,N,Protocol
SEAMS_Jones,Can denial of service attacks in n-variant systems be mitigated with an immune-system signature generation technique?,Real-world implementation,Denial of service reduction,Level 4,Positive (mostly),Cyber security / denial of service,,,No (no code),None,Yes,No,0,Public (described in paper),N,Yes,N/A,N,N,Protocol
